building_id,name,community,developer_id,completion_status,total_units,avg_price_per_sqft
BLD-001,Park Motor City 3,Motor City,DEV-11,Under Construction,111,957.03
BLD-002,Burj Vista 1,Downtown Dubai,DEV-13,Off-Plan,143,2288.57
BLD-003,Mohammed Bin Rashid City Boulevard 3,Mohammed Bin Rashid City,DEV-11,Completed,403,1809.52
BLD-004,Amara Arabian Ranches,Arabian Ranches,DEV-12,Under Construction,215,1291.92
BLD-005,The Downtown Dubai Views,Downtown Dubai,DEV-03,Completed,610,2196.28
BLD-006,Skyline DAMAC Hills,DAMAC Hills,DEV-14,Completed,72,1266.45
BLD-007,Dubai South Heights,Dubai South,DEV-05,Off-Plan,620,1063.14
BLD-008,DAMAC Hills Waterside,DAMAC Hills,DEV-04,Completed,509,1076.08
BLD-009,Golf Jumeirah Village Circle 3,Jumeirah Village Circle,DEV-04,Under Construction,478,1236.9
BLD-010,Bay Central 2,Dubai South,DEV-06,Completed,133,1034.5
BLD-011,Marina Gate 2,Motor City,DEV-02,Under Construction,472,1101.56
BLD-012,Park Dubai South 4,Dubai South,DEV-07,Completed,606,1059.44
BLD-013,Golf Business Bay 1,Business Bay,DEV-11,Under Construction,589,1794.74
BLD-014,Executive Towers 1,Al Furjan,DEV-11,Completed,201,1064.1
BLD-015,Golf Dubai Hills Estate 3,Dubai Hills Estate,DEV-15,Off-Plan,222,1694.42
BLD-016,Dubai Marina Waterside,Dubai Marina,DEV-14,Under Construction,559,1894.04
BLD-017,Skyline Jumeirah Village Circle,Jumeirah Village Circle,DEV-06,Completed,583,1242.59
BLD-018,The Jumeirah Lake Towers Views,Jumeirah Lake Towers,DEV-06,Completed,411,1623.54
BLD-019,Burj Vista 2,Motor City,DEV-13,Completed,620,1193.57
BLD-020,The Dubai Marina Views,Dubai Marina,DEV-12,Off-Plan,585,1964.63
BLD-021,The Jumeirah Village Circle Views,Jumeirah Village Circle,DEV-11,Completed,473,1255.2
BLD-022,Skyline Dubai Silicon Oasis,Dubai Silicon Oasis,DEV-09,Under Construction,448,1033.91
BLD-023,The Palm Jumeirah Views,Palm Jumeirah,DEV-06,Completed,270,2656.42
BLD-024,Business Bay Gardens,Business Bay,DEV-10,Under Construction,47,1514.28
BLD-025,Bay Central 1,Palm Jumeirah,DEV-01,Off-Plan,378,2661.37
BLD-026,Downtown Dubai Waterside,Downtown Dubai,DEV-05,Completed,175,2485.93
BLD-027,Park Dubai Silicon Oasis 4,Dubai Silicon Oasis,DEV-10,Completed,524,991.69
BLD-028,Downtown Dubai Heights,Downtown Dubai,DEV-02,Completed,460,2338.54
BLD-029,Dubai Hills Estate Waterside,Dubai Hills Estate,DEV-01,Completed,387,1815.24
BLD-030,Bay Central 4,Dubai Marina,DEV-04,Completed,227,1745.35
BLD-031,Amara Downtown Dubai,Downtown Dubai,DEV-14,Completed,603,2126.3
BLD-032,Palm Jumeirah Boulevard 1,Palm Jumeirah,DEV-09,Off-Plan,282,2730.58
BLD-033,Bay Central 3,Mohammed Bin Rashid City,DEV-08,Off-Plan,505,1845.49
BLD-034,Skyline Dubai Hills Estate,Dubai Hills Estate,DEV-12,Completed,343,1574.8
BLD-035,Golf Business Bay 3,Business Bay,DEV-10,Completed,528,1692.43
