project_id,name,developer_id,community,launch_date,handover_date,payment_plan_structure,escrow_account_status,rera_registration_number,percent_sold
PRJ-01,Dubai Jumeirah Lake Towers Waves,DEV-11,Jumeirah Lake Towers,2024-06-01,2028-03-02,"30/70 — 30% on booking, 70% split across 4 handover-linked instalments",Under Review,RERA-OP-2024-21164,96.5
PRJ-02,Binghatti Creek Rise 3,DEV-09,Dubai Marina,2025-09-02,2029-05-13,"30/70 — 30% on booking, 70% split across 4 handover-linked instalments",Active,RERA-OP-2025-78494,41.9
PRJ-03,Dubai Silicon Oasis Crest,DEV-08,Dubai Silicon Oasis,2025-03-15,2027-07-15,"30/70 — 30% on booking, 70% split across 4 handover-linked instalments",Active,RERA-OP-2025-89905,93.4
PRJ-04,The Pulse Residence 3,DEV-13,Dubai Marina,2024-08-04,2026-10-23,"10/90 — 10% on booking, 90% on handover",Active,RERA-OP-2024-32782,57.1
PRJ-05,Emaar Creek Rise 2,DEV-01,Jumeirah Village Circle,2025-08-31,2028-06-17,"1% monthly during construction, remainder on handover",Active,RERA-OP-2025-47762,70.9
PRJ-06,Vela Residences 1,DEV-14,Dubai Hills Estate,2024-08-27,2026-11-15,"30/70 — 30% on booking, 70% split across 4 handover-linked instalments",Active,RERA-OP-2024-35928,45.8
PRJ-07,Camelia 2,DEV-04,Al Barari,2024-05-25,2026-01-28,"10/90 — 10% on booking, 90% on handover",Active,RERA-OP-2024-50319,61.0
PRJ-08,Motor City Crest,DEV-10,Motor City,2024-05-07,2027-02-20,"1% monthly during construction, remainder on handover",Active,RERA-OP-2024-45683,52.5
PRJ-09,Sobha Hartland Waves 3,DEV-08,Mohammed Bin Rashid City,2024-02-10,2028-01-30,"40/60 — 40% during construction milestones, 60% on handover",Active,RERA-OP-2024-89129,30.3
PRJ-10,Nakheel Dubai Marina Waves,DEV-04,Dubai Marina,2024-10-02,2027-11-06,"10/90 — 10% on booking, 90% on handover",Active,RERA-OP-2024-32962,49.9
PRJ-11,Palm Jumeirah Crest,DEV-08,Palm Jumeirah,2025-08-22,2028-05-04,"40/60 — 40% during construction milestones, 60% on handover",Suspended,RERA-OP-2025-71605,39.0
PRJ-12,Sobha Hartland Waves 1,DEV-06,DAMAC Hills,2024-12-03,2027-07-22,"40/60 — 40% during construction milestones, 60% on handover",Active,RERA-OP-2024-62488,80.4
PRJ-13,Vela Residences 2,DEV-01,Al Barari,2024-09-15,2027-02-03,"10/90 — 10% on booking, 90% on handover",Suspended,RERA-OP-2024-62976,85.0
PRJ-14,Vela Residences 3,DEV-01,Motor City,2025-01-05,2028-03-27,"40/60 — 40% during construction milestones, 60% on handover",Active,RERA-OP-2025-16764,26.1
PRJ-15,Al Barari Crest,DEV-03,Al Barari,2025-05-11,2027-03-06,"10/90 — 10% on booking, 90% on handover",Suspended,RERA-OP-2025-89806,79.1
PRJ-16,Dubai Hills Estate Crest,DEV-03,Dubai Hills Estate,2024-01-15,2027-01-24,"40/60 — 40% during construction milestones, 60% on handover",Active,RERA-OP-2024-24871,49.1
PRJ-17,Camelia 3,DEV-11,Dubai Marina,2024-10-25,2027-09-21,"1% monthly during construction, remainder on handover",Active,RERA-OP-2024-73242,95.2
PRJ-18,Camelia 1,DEV-08,Downtown Dubai,2025-09-05,2028-07-31,"20/80 — 20% during construction, 80% post-handover over 3 years",Under Review,RERA-OP-2025-46208,76.8
PRJ-19,Elitz by Ellington,DEV-07,Motor City,2024-09-30,2028-07-11,"10/90 — 10% on booking, 90% on handover",Active,RERA-OP-2024-49132,82.5
PRJ-20,Vela Residences 2,DEV-11,Jumeirah Lake Towers,2025-04-29,2028-10-12,"40/60 — 40% during construction milestones, 60% on handover",Active,RERA-OP-2025-96991,78.5
