developer_id,name,track_record_score,active_projects_count,delivery_delay_rate
DEV-01,Emaar Properties,65,2,0.21
DEV-02,DAMAC Properties,73,9,0.06
DEV-03,Sobha Realty,64,4,0.17
DEV-04,Nakheel,60,2,0.04
DEV-05,Azizi Developments,72,18,0.18
DEV-06,Danube Properties,93,8,0.21
DEV-07,Ellington Properties,92,15,0.08
DEV-08,Meraas,95,10,0.23
DEV-09,Binghatti Developers,58,7,0.2
DEV-10,Nshama,79,10,0.06
DEV-11,Dubai Properties,79,5,0.04
DEV-12,Deyaar Development,64,13,0.24
DEV-13,Omniyat,96,10,0.23
DEV-14,Select Group,87,5,0.27
DEV-15,Object 1,82,4,0.16
