transaction_id,building_id,community,property_type,bedrooms,size_sqft,price_aed,price_per_sqft,transaction_type,transaction_date,registration_type,buyer_type
TXN-00001,BLD-020,Dubai Marina,Apartment,0,1415.0,3026614.25,2138.95,Off-Plan,2026-07-02,Oqood,Individual
TXN-00002,BLD-059,Dubai Hills Estate,Apartment,1,2144.0,3213084.16,1498.64,Off-Plan,2026-02-21,Oqood,Individual
TXN-00003,BLD-011,Motor City,Villa,5,6839.0,7202082.51,1053.09,Off-Plan,2025-02-15,Oqood,Individual
TXN-00004,BLD-080,DAMAC Hills,Apartment,2,2243.0,2794890.15,1246.05,Sale,2025-04-22,Title Deed,Individual
TXN-00005,BLD-057,Downtown Dubai,Apartment,1,477.0,1107035.91,2320.83,Sale,2025-09-17,Title Deed,Individual
TXN-00006,BLD-068,Dubai Hills Estate,Apartment,2,777.0,1374520.77,1769.01,Sale,2026-06-03,Title Deed,Individual
TXN-00007,BLD-075,Jumeirah Lake Towers,Apartment,2,923.0,1342549.65,1454.55,Off-Plan,2025-06-20,Oqood,Company
TXN-00008,BLD-010,Dubai South,Apartment,1,1583.0,1607868.93,1015.71,Sale,2025-08-01,Title Deed,Company
TXN-00009,BLD-050,Arabian Ranches,Villa,3,4592.0,5458372.64,1188.67,Off-Plan,2026-02-19,Oqood,Individual
TXN-00010,BLD-036,Motor City,Apartment,3,1961.0,2517198.43,1283.63,Off-Plan,2025-10-30,Oqood,Company
TXN-00011,BLD-030,Dubai Marina,Apartment,1,1681.0,3059100.61,1819.81,Off-Plan,2025-05-30,Oqood,Individual
TXN-00012,BLD-013,Business Bay,Townhouse,4,2356.0,4309171.12,1829.02,Off-Plan,2025-11-08,Oqood,Individual
TXN-00013,BLD-042,Jumeirah Village Circle,Villa,3,3421.0,4299307.54,1256.74,Sale,2025-06-27,Title Deed,Company
TXN-00014,BLD-033,Mohammed Bin Rashid City,Townhouse,4,3541.0,7115816.55,2009.55,Off-Plan,2025-03-28,Oqood,Individual
TXN-00015,BLD-019,Motor City,Villa,3,5979.0,6960632.22,1164.18,Off-Plan,2025-04-12,Oqood,Individual
TXN-00016,BLD-051,Motor City,Apartment,2,1320.0,1312792.8,994.54,Sale,2026-01-25,Title Deed,Company
TXN-00017,BLD-014,Al Furjan,Apartment,2,1647.0,1680236.46,1020.18,Sale,2026-04-30,Title Deed,Individual
TXN-00018,BLD-039,Dubai Silicon Oasis,Apartment,0,510.0,569328.3,1116.33,Sale,2025-05-28,Title Deed,Individual
TXN-00019,BLD-050,Arabian Ranches,Apartment,2,1891.0,2317685.24,1225.64,Off-Plan,2026-03-10,Oqood,Individual
TXN-00020,BLD-013,Business Bay,Villa,4,7214.0,13538513.8,1876.7,Sale,2025-09-08,Title Deed,Individual
TXN-00021,BLD-047,Dubai South,Apartment,2,1498.0,1368827.46,913.77,Sale,2025-05-15,Title Deed,Individual
TXN-00022,BLD-059,Dubai Hills Estate,Apartment,1,1686.0,2510335.98,1488.93,Sale,2025-08-08,Title Deed,Company
TXN-00023,BLD-009,Jumeirah Village Circle,Villa,4,5556.0,6431847.84,1157.64,Off-Plan,2025-01-12,Oqood,Company
TXN-00024,BLD-036,Motor City,Villa,3,3411.0,3674329.2,1077.2,Off-Plan,2025-01-25,Oqood,Individual
TXN-00025,BLD-046,Downtown Dubai,Villa,3,4322.0,9720912.74,2249.17,Off-Plan,2025-03-16,Oqood,Individual
TXN-00026,BLD-061,Arabian Ranches,Apartment,1,1595.0,1879053.55,1178.09,Sale,2026-06-27,Title Deed,Individual
TXN-00027,BLD-039,Dubai Silicon Oasis,Apartment,4,540.0,525981.6,974.04,Off-Plan,2026-04-09,Oqood,Individual
TXN-00028,BLD-010,Dubai South,Townhouse,3,2067.0,2202119.79,1065.37,Sale,2026-02-04,Title Deed,Individual
TXN-00029,BLD-077,Palm Jumeirah,Apartment,2,1619.0,4577350.13,2827.27,Off-Plan,2025-08-18,Oqood,Individual
TXN-00030,BLD-056,Downtown Dubai,Apartment,1,1091.0,2626386.12,2407.32,Sale,2025-09-28,Title Deed,Individual
TXN-00031,BLD-048,Business Bay,Townhouse,4,2654.0,3893683.4,1467.1,Sale,2026-01-26,Title Deed,Individual
TXN-00032,BLD-017,Jumeirah Village Circle,Apartment,2,1532.0,1731052.76,1129.93,Sale,2026-03-19,Title Deed,Individual
TXN-00033,BLD-007,Dubai South,Townhouse,4,2433.0,2408280.72,989.84,Off-Plan,2025-04-30,Oqood,Individual
TXN-00034,BLD-045,Palm Jumeirah,Villa,4,6384.0,22491534.24,3523.11,Off-Plan,2025-02-05,Oqood,Company
TXN-00035,BLD-078,Al Barari,Townhouse,4,2281.0,3940792.46,1727.66,Sale,2025-01-16,Title Deed,Individual
TXN-00036,BLD-024,Business Bay,Villa,4,4684.0,7319593.12,1562.68,Sale,2025-08-18,Title Deed,Individual
TXN-00037,BLD-049,Motor City,Apartment,1,1153.0,1290599.02,1119.34,Sale,2025-03-04,Title Deed,Individual
TXN-00038,BLD-020,Dubai Marina,Apartment,2,1754.0,3579896.46,2040.99,Sale,2025-10-16,Title Deed,Individual
